CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 10:00,3.6,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 11:00,3.6,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 12:00,4.6,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 13:00,3.6,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 14:00,4.1,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 15:00,1.5,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 16:00,4.6,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 17:00,5.1,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 18:00,5.1,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 19:00,4.1,50,,900
17015020,AEROPUERTO SESQUICENTENARIO [17015020],12.587849,-81.701117,3,Radio Sonda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,"Archipielago De San Andres, Providencia Y Santa Catalina",San Andrés,06/02/2005 00:00,,VEL VIENTO,VVAG_CON,Velocidad del viento de las 24 horas,Horaria,2003-01-15 20:00,4.1,50,,900
